,difference
137157668,-0.00021298302451100426
137157669,
137157670,-0.5973917813917069
137157671,-0.8518006169135788
137157672,0.0008941605381096451
137157673,-0.611189170115523
137157674,-0.8506888558178218
137157675,-0.001987901677608761
137157676,-0.850970885793771
137157677,-0.6010931389587313
137157810,-0.41372261575232727
137157811,-0.278629784043261
137157812,0.09544742181035559
137157813,-0.2810600208164331
137157814,-0.4110889549551544
137157815,
137157816,0.862170718151706
137157817,0.8394084172065988
137157818,0.8399275180160473
137157819,0.8596253396047544
137157631,
137157632,0.003302213113676622
137157621,-1.550455764455208
137157622,-1.550723672768008
137157623,-1.5518670450055225
137157624,-1.5492840276780555
137157625,-0.00014917335077768712
137157626,0.0002785664835229795
137157627,0.00026656703480654187
137157628,-1.5485586542193275
137157629,0.00025091537992238955
137157630,
137149093,0.0017336765623383599
137149094,-0.002694454879261343
137149095,0.09988145447628938
137149096,0.1382253670730762
137149097,-0.009627080889273998
137149098,-0.004055065311519002
137149099,0.003915276966822034
137149100,0.12287811813037308
137149101,
137149102,0.005396255070024836
137157716,
137157717,0.0035214830236043326
137157742,-15.839972935584438
137157743,-15.842397368495647
137157744,-15.846792872092433
137157745,-15.844616542266621
137157747,-15.84824364281458
137157748,-15.847668081807132
137157749,7.696349457885663
137157750,-15.846707799082537
137157751,-15.847432337587417
137157752,
137157869,-0.5568199568286758
137157870,-0.553881577892497
137157871,
137157872,-0.04864418157877992
137157873,-0.0008599947631893201
137157874,-0.04986438956227346
137157652,-0.02758513836007026
137157657,-4.6733187927449045
137157678,0.009215728086054753
137157679,-0.0009669288801212872
137157680,0.025161797628786786
137157681,-0.02814566544833852
137157682,
137157683,-0.02723590874160564
137157684,-0.027913513260440226
137149076,-0.001527821179859501
137149103,0.004739312851164357
137149104,-0.0010922559462009929
137149105,-0.0035526248841897257
137149106,0.0027057849727558647
137149107,
137157643,-0.03168526327075938
137157644,
137157910,0.005910917399340576
137157911,
137157912,-0.008428943531333388
137157924,4.052657629408515
137157926,1.0347022163948623
137157927,1.0387249761173223
137157928,-0.0003648292959610444
137157929,1.0308568182847466
137157930,4.468136732100504
137157932,
137157933,1.0378594699346309
137157934,-0.0005155189236631941
137157935,1.0334862635891398
137157892,0.3646000675832113
137157893,-0.00850289481445543
137157894,0.3625792813635371
137157895,0.36609897906276956
137157896,0.36707574671947896
137157897,-0.010217006427154729
137157898,0.3654786407378481
137157899,0.36291141830935203
137157900,0.36297464651977407
137157901,
137157913,-1.3279195258735967
137157914,-1.2538798064261556
137157915,-1.1412803400604616
137157916,-1.2091262421358806
137157917,
137157918,0.0008685705474960059
137157920,0.05027745988374477
137157921,-1.2487757065245972
137157922,-1.2181799930005184
137157923,-1.2678330089669032
137157706,-1.2488136443188864
137157707,-1.244018880714762
137157708,-1.2472967391787506
137157709,-1.2437434720822864
137157710,-1.2217772279188495
137157711,0.003597554765832456
137157712,
137157713,0.0029460530792562167
137157714,0.00154474146772543
137157715,0.0002947093214515917
137157687,0.00022868247105201078
137157688,
137157689,1.6005051392653513e-05
137157829,-1.070184017970952
137157830,-0.8249910424345543
137157831,-1.1882059184877178
137157832,
137157833,-1.8826309613578545
137157835,-0.9970784647887214
137157836,-0.8641386491391714
137157837,-1.344944274984094
137157838,-0.007881856526971376
137157839,-1.284337261214823
137157841,0.34964205215244704
137157842,0.059569000387512006
137157843,0.31752541322459393
137157844,
137157846,-2.6831472790740563
137157847,-0.8181326397413073
137157848,0.36871430742684197
137157849,0.03280529511389574
137157851,-0.0015183466878667673
137157852,-2.685346872485084
137157645,-8.042207491429323
137157646,-1.969266951540746
137157648,0.018986952013619884
137157649,-8.017998100439918
137157650,-7.680563516042376
137157651,
137157653,-8.219226801508185
137157654,-9.285031618191148
137157655,-8.086837384077576
137157656,-0.9794878476123685
137149170,-5.2897565952051195
137149171,-2.909728993505297
137149172,-1.6527225719810588
137149174,-11.969806547999298
137149175,-3.3835088970814127
137149176,
137149177,-13.741412686180809
137149178,-15.428778585774722
137149179,-15.26002625225874
137149180,-2.739813775424693
137157633,
137157634,-5.449546240657114
137157635,-3.3767830701630857
137157638,-5.4512164644046806
137157639,-6.042167023736937
137157640,-6.67385026852007
137157642,-5.879301906623567
137157778,
137157779,-2.607503067482585
137157780,-2.607497812399753
137149020,-3.0574868713114043
137149021,-5.676657834988051
137149022,
